rooms,area_sqm,age_years,distance_km,price
1,100.2,9.6,7.97,210908
4,59.7,18.2,0.3,164260
4,42.5,18.2,9.06,167394
3,68.9,24.6,4.69,159032
3,69.8,32.0,12.1,178804
5,94.9,7.3,4.49,244847
1,83.4,18.5,4.45,151756
4,72.9,37.8,9.16,176393
2,97.2,11.1,10.05,245025
1,38.8,10.1,8.79,93727
3,50.9,22.4,0.3,122963
5,44.6,30.1,9.15,164680
4,56.4,20.1,2.86,154534
4,34.7,35.9,7.94,102421
4,79.0,30.3,1.31,209108
4,60.1,30.1,8.79,155012
3,32.6,26.6,3.77,105101
1,42.7,47.9,1.87,69688
5,71.9,17.5,9.86,203731
3,83.4,0.0,7.97,200388
3,108.9,39.3,4.54,178870
2,129.1,14.5,12.8,245777
1,74.1,21.3,5.24,114373
5,43.2,35.7,7.13,117937
4,25.0,0.8,8.08,115602
4,70.9,5.0,4.52,192973
3,47.1,0.8,8.88,120658
5,55.9,10.5,4.87,196703
3,51.5,25.3,5.35,105241
3,61.9,26.3,12.45,130249
3,88.5,23.3,2.84,181884
2,68.5,3.0,0.3,156531
1,61.5,0.0,13.44,120647
3,42.2,20.7,17.2,86095
5,28.2,14.3,5.38,147568
1,54.3,25.5,0.3,104378
5,63.8,28.4,5.76,148664
5,103.9,21.7,5.86,215541
2,67.9,29.1,6.24,134027
4,86.6,22.8,2.55,204164
1,54.0,26.4,9.32,90497
4,38.9,11.5,9.1,130852
4,43.8,17.8,1.02,148257
2,49.0,22.4,9.8,121336
1,111.8,29.8,15.21,156283
5,46.9,15.3,7.69,140370
3,83.4,26.3,5.65,159867
5,45.1,16.8,6.43,164256
4,85.5,18.6,9.46,223640
4,73.5,30.0,0.3,177484
4,61.6,0.0,7.66,131032
1,64.1,4.4,5.44,95246
2,50.6,2.2,14.39,98798
3,74.8,0.0,6.3,170729
3,55.0,11.9,13.67,126478
1,38.0,29.0,2.59,73314
3,36.9,16.6,9.35,101172
1,68.8,22.4,8.28,138434
4,99.7,33.1,3.52,209697
4,68.5,35.9,7.71,150070
5,62.4,19.2,11.85,187906
4,71.3,36.2,5.7,144398
2,93.7,21.1,0.3,193992
5,69.8,10.0,6.93,203975
3,56.0,12.9,3.39,143432
2,89.3,2.2,5.63,213996
5,74.4,9.3,6.67,198946
2,98.8,15.7,0.3,235392
1,69.0,29.6,0.54,120015
3,38.1,40.6,8.93,71702
4,34.9,3.4,4.91,135651
1,101.3,24.7,0.3,159582
3,102.9,7.5,10.14,203480
1,61.1,25.7,8.09,112511
4,56.6,18.4,4.14,170897
3,97.2,0.0,1.73,210338
2,40.6,31.1,10.34,102744
2,45.3,12.7,8.4,126460
3,79.2,13.6,16.53,194159
4,56.3,7.2,8.68,171793
5,64.9,12.1,8.55,215666
3,61.4,25.1,6.33,110346
1,72.4,17.7,10.27,120229
5,96.0,23.9,9.5,217121
4,67.0,24.3,12.01,167521
4,79.2,35.8,4.91,175466
1,25.0,15.9,5.26,53693
2,63.9,2.3,5.08,179206
4,46.4,32.8,10.16,126400
5,38.2,16.0,12.99,148640
3,45.7,33.4,5.16,111202
5,57.6,24.6,5.3,177010
5,85.1,18.4,8.26,220210
2,35.8,24.2,6.02,94251
5,65.7,43.4,10.81,192117
2,54.3,44.9,0.3,139326
2,57.8,20.8,3.69,131477
4,87.1,21.9,3.87,218498
4,76.8,32.9,0.3,168147
1,94.4,9.9,3.15,172123
5,61.6,24.0,3.34,201415
1,49.7,19.7,6.2,108461
5,60.1,23.8,11.45,177072
1,70.3,10.0,6.02,147870
4,68.9,0.9,2.88,201330
4,41.1,0.0,6.77,165986
4,67.0,6.6,11.2,182123
4,70.0,14.5,3.1,179528
3,120.4,16.5,3.36,253078
4,106.3,43.2,9.23,167209
2,46.2,33.3,6.11,104169
4,58.7,8.5,9.59,98591
3,32.8,24.2,6.95,67321
3,52.0,15.1,9.81,139483
3,71.9,16.6,2.86,178607
3,91.5,22.2,6.95,172541
1,49.0,27.4,6.16,74287
1,50.6,15.9,2.14,125736
2,25.0,32.8,0.75,60807
1,61.4,6.3,9.74,156151
3,41.6,20.1,5.6,116367
4,53.4,51.2,2.91,144803
4,45.7,22.7,6.62,167355
3,62.9,37.2,11.51,136058
5,26.3,21.1,0.3,115097
3,32.7,27.0,1.01,101089
1,111.8,19.3,3.31,195078
4,36.7,18.0,12.84,95215
3,40.9,10.6,8.13,113457
4,105.4,25.2,10.07,215126
3,128.9,9.8,2.44,282345
3,39.2,28.0,2.52,111818
1,56.9,33.0,8.79,88463
3,72.5,24.4,7.23,159516
4,103.0,16.6,9.19,234813
2,43.3,25.4,6.25,108222
4,59.6,16.3,8.11,144670
1,82.1,31.2,7.63,117482
2,74.6,0.0,10.11,178066
3,56.7,16.0,10.23,130503
5,62.1,0.0,0.52,177214
2,34.8,2.1,0.3,112027
2,59.8,36.4,11.01,120029
3,59.1,30.7,11.75,103699
